ActiveIngredient,Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
LATANOPROSTENE BUNOD,G74,List of FDA Approved Drugs,LATANOPROSTENE BUNOD,LATANOPROSTENE BUNOD - NDA,2017-11-02,2017-11-02,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LECANEMAB-IRMB,G74,List of FDA Approved Drugs,LECANEMAB-IRMB,LECANEMAB-IRMB - BLA,2023-01-06,2023-01-06,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LEDIPASVIR; SOFOSBUVIR,G74,List of FDA Approved Drugs,LEDIPASVIR; SOFOSBUVIR,LEDIPASVIR; SOFOSBUVIR - NDA,2014-10-10,2014-10-10,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LEFAMULIN,G74,List of FDA Approved Drugs,LEFAMULIN,LEFAMULIN - NDA,2019-08-19,2019-08-19,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LEFLUNOMIDE,G74,List of FDA Approved Drugs,LEFLUNOMIDE,LEFLUNOMIDE - NDA,1998-09-10,1998-09-10,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LEMBOREXANT,G74,List of FDA Approved Drugs,LEMBOREXANT,LEMBOREXANT - NDA,2019-12-20,2019-12-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LENACAPAVIR,G74,List of FDA Approved Drugs,LENACAPAVIR,LENACAPAVIR - NDA,2022-12-22,2022-12-22,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LENALIDOMIDE,G74,List of FDA Approved Drugs,LENALIDOMIDE,LENALIDOMIDE - NDA,2005-12-27,2005-12-27,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LENVATINIB,G74,List of FDA Approved Drugs,LENVATINIB,LENVATINIB - NDA,2015-02-13,2015-02-13,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LESINURAD,G74,List of FDA Approved Drugs,LESINURAD,LESINURAD - NDA,2015-12-22,2015-12-22,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LETERMOVIR,G74,List of FDA Approved Drugs,LETERMOVIR,LETERMOVIR - NDA,2017-11-08,2017-11-08,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LEVETIRACETAM,G74,List of FDA Approved Drugs,LEVETIRACETAM,LEVETIRACETAM - NDA,1999-11-30,1999-11-30,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LIFITEGRAST,G74,List of FDA Approved Drugs,LIFITEGRAST,LIFITEGRAST - NDA,2016-07-11,2016-07-11,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LINACLOTIDE,G74,List of FDA Approved Drugs,LINACLOTIDE,LINACLOTIDE - NDA,2012-08-30,2012-08-30,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LINAGLIPTIN,G74,List of FDA Approved Drugs,LINAGLIPTIN,LINAGLIPTIN - NDA,2011-05-02,2011-05-02,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LINEZOLID,G74,List of FDA Approved Drugs,LINEZOLID,LINEZOLID - NDA,2000-04-18,2000-04-18,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LIRAGLUTIDE RECOMBINANT,G74,List of FDA Approved Drugs,LIRAGLUTIDE RECOMBINANT,LIRAGLUTIDE RECOMBINANT - NDA,2010-01-25,2010-01-25,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LISDEXAMFETAMINE DIMESYLATE,G74,List of FDA Approved Drugs,LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE - NDA,2007-02-23,2007-02-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LIXISENATIDE,G74,List of FDA Approved Drugs,LIXISENATIDE,LIXISENATIDE - BLA,2016-07-27,2016-07-27,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LOFEXIDINE,G74,List of FDA Approved Drugs,LOFEXIDINE,LOFEXIDINE - NDA,2018-05-16,2018-05-16,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LOMITAPIDE,G74,List of FDA Approved Drugs,LOMITAPIDE,LOMITAPIDE - NDA,2012-12-21,2012-12-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LONAFARNIB,G74,List of FDA Approved Drugs,LONAFARNIB,LONAFARNIB - NDA,2020-11-20,2020-11-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LONAPEGSOMATROPIN-TCGD,G74,List of FDA Approved Drugs,LONAPEGSOMATROPIN-TCGD,LONAPEGSOMATROPIN-TCGD - BLA,2021-08-25,2021-08-25,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LONCASTUXIMAB TESIRINE-LPYL,G74,List of FDA Approved Drugs,LONCASTUXIMAB TESIRINE-LPYL,LONCASTUXIMAB TESIRINE-LPYL - BLA,2021-04-23,2021-04-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LOPINAVIR; RITONAVIR,G74,List of FDA Approved Drugs,LOPINAVIR; RITONAVIR,LOPINAVIR; RITONAVIR - NDA,2000-09-15,2000-09-15,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LORLATINIB,G74,List of FDA Approved Drugs,LORLATINIB,LORLATINIB - NDA,2018-11-02,2018-11-02,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LOTEPREDNOL ETABONATE,G74,List of FDA Approved Drugs,LOTEPREDNOL ETABONATE,LOTEPREDNOL ETABONATE - NDA,1998-03-09,1998-03-09,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LUBIPROSTONE,G74,List of FDA Approved Drugs,LUBIPROSTONE,LUBIPROSTONE - NDA,2006-01-31,2006-01-31,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LUCINACTANT,G74,List of FDA Approved Drugs,LUCINACTANT,LUCINACTANT - NDA,2012-03-06,2012-03-06,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LULICONAZOLE,G74,List of FDA Approved Drugs,LULICONAZOLE,LULICONAZOLE - NDA,2013-11-14,2013-11-14,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LUMASIRAN,G74,List of FDA Approved Drugs,LUMASIRAN,LUMASIRAN - NDA,2020-11-23,2020-11-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LUMATEPERONE TOSYLATE,G74,List of FDA Approved Drugs,LUMATEPERONE TOSYLATE,LUMATEPERONE TOSYLATE - NDA,2019-12-20,2019-12-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LURASIDONE,G74,List of FDA Approved Drugs,LURASIDONE,LURASIDONE - NDA,2010-10-28,2010-10-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LURBINECTEDIN,G74,List of FDA Approved Drugs,LURBINECTEDIN,LURBINECTEDIN - NDA,2020-06-15,2020-06-15,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LUSPATERCEPT-AAMT,G74,List of FDA Approved Drugs,LUSPATERCEPT-AAMT,LUSPATERCEPT-AAMT - BLA,2019-11-08,2019-11-08,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LUSUTROMBOPAG,G74,List of FDA Approved Drugs,LUSUTROMBOPAG,LUSUTROMBOPAG - NDA,2018-07-31,2018-07-31,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LUTETIUM LU-177 VIPIVOTIDE TETRAXETAN,G74,List of FDA Approved Drugs,LUTETIUM LU-177 VIPIVOTIDE TETRAXETAN,LUTETIUM LU-177 VIPIVOTIDE TETRAXETAN - NDA,2022-03-23,2022-03-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
LUTETIUM LU 177 DOTATATE,G74,List of FDA Approved Drugs,LUTETIUM LU 177 DOTATATE,LUTETIUM LU 177 DOTATATE - NDA,2018-01-26,2018-01-26,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MACIMORELIN,G74,List of FDA Approved Drugs,MACIMORELIN,MACIMORELIN - NDA,2017-12-20,2017-12-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MACITENTAN,G74,List of FDA Approved Drugs,MACITENTAN,MACITENTAN - NDA,2013-10-18,2013-10-18,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MARALIXIBAT,G74,List of FDA Approved Drugs,MARALIXIBAT,MARALIXIBAT - NDA,2021-09-29,2021-09-29,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MARAVIROC,G74,List of FDA Approved Drugs,MARAVIROC,MARAVIROC - NDA,2007-08-06,2007-08-06,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MARGETUXIMAB-CMKB,G74,List of FDA Approved Drugs,MARGETUXIMAB-CMKB,MARGETUXIMAB-CMKB - BLA,2020-12-16,2020-12-16,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MARIBAVIR,G74,List of FDA Approved Drugs,MARIBAVIR,MARIBAVIR - NDA,2021-11-23,2021-11-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MAVACAMTEN,G74,List of FDA Approved Drugs,MAVACAMTEN,MAVACAMTEN - NDA,2022-04-28,2022-04-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MECASERMIN RECOMBINANT,G74,List of FDA Approved Drugs,MECASERMIN RECOMBINANT,MECASERMIN RECOMBINANT - BLA,2005-08-30,2005-08-30,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MECASERMIN RINFABATE RECOMBINANT,G74,List of FDA Approved Drugs,MECASERMIN RINFABATE RECOMBINANT,MECASERMIN RINFABATE RECOMBINANT - BLA,2005-12-12,2005-12-12,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MELOXICAM,G74,List of FDA Approved Drugs,MELOXICAM,MELOXICAM - NDA,2000-04-13,2000-04-13,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MELPHALAN FLUFENAMIDE,G74,List of FDA Approved Drugs,MELPHALAN FLUFENAMIDE,MELPHALAN FLUFENAMIDE - NDA,2021-02-26,2021-02-26,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MEMANTINE,G74,List of FDA Approved Drugs,MEMANTINE,MEMANTINE - NDA,2003-10-16,2003-10-16,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MEPOLIZUMAB,G74,List of FDA Approved Drugs,MEPOLIZUMAB,MEPOLIZUMAB - BLA,2015-11-04,2015-11-04,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MEQUINOL; TRETINOIN,G74,List of FDA Approved Drugs,MEQUINOL; TRETINOIN,MEQUINOL; TRETINOIN - NDA,1999-12-10,1999-12-10,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MEROPENEM; VABORBACTAM,G74,List of FDA Approved Drugs,MEROPENEM; VABORBACTAM,MEROPENEM; VABORBACTAM - NDA,2017-08-29,2017-08-29,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,G74,List of FDA Approved Drugs,METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA - BLA,2007-11-14,2007-11-14,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
METHYLNALTREXONE BROMIDE,G74,List of FDA Approved Drugs,METHYLNALTREXONE BROMIDE,METHYLNALTREXONE BROMIDE - NDA,2008-04-24,2008-04-24,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
METRELEPTIN,G74,List of FDA Approved Drugs,METRELEPTIN,METRELEPTIN - BLA,2014-02-24,2014-02-24,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MICAFUNGIN,G74,List of FDA Approved Drugs,MICAFUNGIN,MICAFUNGIN - NDA,2005-03-16,2005-03-16,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MIDOSTAURIN,G74,List of FDA Approved Drugs,MIDOSTAURIN,MIDOSTAURIN - NDA,2017-04-28,2017-04-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MIFEPRISTONE,G74,List of FDA Approved Drugs,MIFEPRISTONE,MIFEPRISTONE - NDA,2000-09-28,2000-09-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MIGALASTAT,G74,List of FDA Approved Drugs,MIGALASTAT,MIGALASTAT - NDA,2018-08-10,2018-08-10,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MIGLUSTAT,G74,List of FDA Approved Drugs,MIGLUSTAT,MIGLUSTAT - NDA,2003-07-31,2003-07-31,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MILNACIPRAN,G74,List of FDA Approved Drugs,MILNACIPRAN,MILNACIPRAN - NDA,2009-01-14,2009-01-14,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MILTEFOSINE,G74,List of FDA Approved Drugs,MILTEFOSINE,MILTEFOSINE - NDA,2014-03-19,2014-03-19,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MIPOMERSEN,G74,List of FDA Approved Drugs,MIPOMERSEN,MIPOMERSEN - NDA,2013-01-29,2013-01-29,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MIRABEGRON,G74,List of FDA Approved Drugs,MIRABEGRON,MIRABEGRON - NDA,2012-06-28,2012-06-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MIRVETUXIMAB SORAVTANSINE-GYNX,G74,List of FDA Approved Drugs,MIRVETUXIMAB SORAVTANSINE-GYNX,MIRVETUXIMAB SORAVTANSINE-GYNX - BLA,2022-11-14,2022-11-14,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MITAPIVAT,G74,List of FDA Approved Drugs,MITAPIVAT,MITAPIVAT - NDA,2022-02-17,2022-02-17,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MOBOCERTINIB,G74,List of FDA Approved Drugs,MOBOCERTINIB,MOBOCERTINIB - NDA,2021-09-15,2021-09-15,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MODAFINIL,G74,List of FDA Approved Drugs,MODAFINIL,MODAFINIL - NDA,1998-12-24,1998-12-24,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MOGAMULIZUMAB-KPKC,G74,List of FDA Approved Drugs,MOGAMULIZUMAB-KPKC,MOGAMULIZUMAB-KPKC - BLA,2018-08-08,2018-08-08,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MONTELUKAST,G74,List of FDA Approved Drugs,MONTELUKAST,MONTELUKAST - NDA,1998-02-20,1998-02-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MOSUNETUZUMAB-AXGB,G74,List of FDA Approved Drugs,MOSUNETUZUMAB-AXGB,MOSUNETUZUMAB-AXGB - BLA,2022-12-22,2022-12-22,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MOXETUMOMAB PASUDOTOX-TDFK,G74,List of FDA Approved Drugs,MOXETUMOMAB PASUDOTOX-TDFK,MOXETUMOMAB PASUDOTOX-TDFK - BLA,2018-09-13,2018-09-13,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MOXIDECTIN,G74,List of FDA Approved Drugs,MOXIDECTIN,MOXIDECTIN - NDA,2018-06-13,2018-06-13,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
MOXIFLOXACIN,G74,List of FDA Approved Drugs,MOXIFLOXACIN,MOXIFLOXACIN - NDA,1999-12-10,1999-12-10,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
NALDEMEDINE TOSYLATE,G74,List of FDA Approved Drugs,NALDEMEDINE TOSYLATE,NALDEMEDINE TOSYLATE - NDA,2017-03-23,2017-03-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
NALOXEGOL OXALATE,G74,List of FDA Approved Drugs,NALOXEGOL OXALATE,NALOXEGOL OXALATE - NDA,2014-09-16,2014-09-16,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
NARATRIPTAN,G74,List of FDA Approved Drugs,NARATRIPTAN,NARATRIPTAN - NDA,1998-02-10,1998-02-10,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
NATALIZUMAB,G74,List of FDA Approved Drugs,NATALIZUMAB,NATALIZUMAB - BLA,2004-11-23,2004-11-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
NATEGLINIDE,G74,List of FDA Approved Drugs,NATEGLINIDE,NATEGLINIDE - NDA,2000-12-22,2000-12-22,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
NAXITAMAB-GQGK,G74,List of FDA Approved Drugs,NAXITAMAB-GQGK,NAXITAMAB-GQGK - BLA,2020-11-25,2020-11-25,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
NEBIVOLOL,G74,List of FDA Approved Drugs,NEBIVOLOL,NEBIVOLOL - NDA,2007-12-17,2007-12-17,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
NECITUMUMAB,G74,List of FDA Approved Drugs,NECITUMUMAB,NECITUMUMAB - BLA,2015-11-24,2015-11-24,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
